StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,initials,age,gender,gender_TEXT,churched,church_type,importance_rel,freq_prayer,importance_pray,previous,problem_articulation,closer,ideas,plan,motivation,optimism,connected,positive,charity,relief,result,condition,condition_num
7/18/22 21:27,7/18/22 21:29,IP Address,68.50.200.69,100,112,TRUE,7/18/22 21:29,R_2uHSJn858phaBCO,,,,,40.4444,-86.9256,anonymous,EN,LF,24,woman,,Once a week,nondenominational ,100,Multiple times a week,100,28,100,100,20,87,96,100,99,100,98,99,83,pray,0
7/19/22 5:20,7/19/22 5:22,IP Address,67.185.217.175,100,124,TRUE,7/19/22 5:22,R_UXVUgJ97U5yMgjD,,,,,48.7494,-122.4896,anonymous,EN,MS,24,woman,,A few times a month,Anglican Catholic,100,Once a week,73,24,85,35,25,55,12,81,100,68,84,95,25,pray,0
7/19/22 21:53,7/19/22 21:57,IP Address,216.73.160.9,100,243,TRUE,7/19/22 21:57,R_2xwWBWdOqKcuz1j,,,,,40.7157,-74,anonymous,EN,JEB,53,woman,,A few times a year,Liturgical Protestant,98,Daily,67,100,92,78,51,52,94,77,92,93,93,99,75,pray,0
7/23/22 21:05,7/23/22 21:07,IP Address,47.150.17.92,100,146,TRUE,7/23/22 21:07,R_3R9ngRjRZPtIBFz,,,,,33.4948,-117.0954,anonymous,EN,SS,18,woman,,A few times a month,Christian,92,Multiple times a week,96,100,21,22,50,36,61,52,15,37,72,75,27,pray,0
7/26/22 1:04,7/26/22 1:07,IP Address,159.235.68.208,100,200,TRUE,7/26/22 1:07,R_2uL3kQ61Jp1hSnt,,,,,34.5891,-86.9909,anonymous,EN,NT,25,man,,More than once a week,nondenominational ,100,Multiple times a day,100,77,100,44,44,44,61,62,55,100,100,85,56,pray,0
7/26/22 19:12,7/26/22 19:16,IP Address,73.221.45.251,100,190,TRUE,7/26/22 19:16,R_1jIGuN7QrxnAlFP,,,,,48.7494,-122.4896,anonymous,EN,CK,31,woman,,A few times a month,Episcopal ,100,Multiple times a week,100,100,48,28,69,46,18,20,22,23,84,85,46,pray,0
7/27/22 21:05,7/27/22 21:08,IP Address,206.127.52.157,100,194,TRUE,7/27/22 21:08,R_BDRPYmouCqRwqY1,,,,,40.4444,-86.9256,anonymous,EN,RS,66,man,,Once a week,Presbyterian ,42,Multiple times a day,100,60,54,49,68,57,100,51,96,64,89,100,84,pray,0
7/27/22 22:07,7/27/22 22:14,IP Address,184.4.62.162,100,462,TRUE,7/27/22 22:14,R_5aTm48MylJhqF8d,,,,,33.4935,-111.9211,anonymous,EN,JM,21,man,,More than once a week, nondenominational,98,Multiple times a week,96,98,100,100,2,98,99,0,0,1,0,100,0,pray,0
7/28/22 0:17,7/28/22 0:19,IP Address,107.122.189.142,100,98,TRUE,7/28/22 0:19,R_R4RrHp3sgYNDILn,,,,,42.3562,-71.0631,anonymous,EN,CR,27,woman,,Once a week,Lutheran (ELCA),100,Daily,100,100,100,60,61,61,100,100,100,100,100,100,37,pray,0
7/29/22 18:09,7/29/22 18:11,IP Address,174.192.64.238,100,141,TRUE,7/29/22 18:11,R_32SgQuMZDaojdji,,,,,42.0382,-88.262,anonymous,EN,EA,27,woman,,Once a month,Catholic,74,A few times a month,69,95,58,65,65,98,45,76,33,81,47,84,69,pray,0
7/29/22 19:17,7/29/22 19:19,IP Address,162.207.64.64,100,110,TRUE,7/29/22 19:19,R_2woEXCDOKVnYbhH,,,,,42.8984,-85.7223,anonymous,EN,EG,25,woman,,A few times a month,Episcopal,71,Once a week,35,73,65,51,24,66,78,26,24,42,40,50,25,pray,0
7/30/22 21:34,7/30/22 21:36,IP Address,71.167.227.170,100,134,TRUE,7/30/22 21:36,R_2WNFNcqCthldASb,,,,,40.8231,-73.9513,anonymous,EN,PD,24,man,,A few times a month,Presbyterian (PCUSA),74,Multiple times a week,80,55,50,19,81,79,17,18,54,72,73,51,38,pray,0
8/1/22 18:42,8/1/22 18:50,IP Address,99.59.124.21,100,506,TRUE,8/1/22 18:50,R_vCC3eROH3gSp2nf,,,,,33.8782,-117.9567,anonymous,EN,DH,67,woman,,Once a week,Anglican,100,Multiple times a day,100,49,76,80,81,82,8,9,99,99,9,10,45,pray,0
8/2/22 21:08,8/2/22 21:11,IP Address,73.208.57.137,100,162,TRUE,8/2/22 21:11,R_1hQElr3UldWO3CP,,,,,41.7454,-86.1387,anonymous,EN,TK,27,man,,Once a week,Catholic Parish,100,Daily,100,100,100,100,76,60,20,100,100,100,86,100,83,pray,0
8/3/22 0:06,8/3/22 0:08,IP Address,199.19.147.48,100,130,TRUE,8/3/22 0:08,R_sh4EzyT116c02UF,,,,,33.9058,-118.018,anonymous,EN,DAH,66,man,,Once a week,Anglican,100,Multiple times a day,100,74,100,100,69,47,100,93,100,100,100,100,76,pray,0
8/5/22 20:06,8/5/22 20:09,IP Address,71.197.249.80,100,139,TRUE,8/5/22 20:09,R_21h6jQT13lRCsSo,,,,,48.7494,-122.4896,anonymous,EN,RE,67,man,,A few times a month,Episcopal,54,A few times a year,6,1,73,2,49,1,27,5,48,21,69,2,2,pray,0
8/7/22 0:14,8/7/22 0:20,IP Address,24.143.73.29,100,335,TRUE,8/7/22 0:20,R_XtsLxtF3peHcuMp,,,,,48.799,-122.4499,anonymous,EN,AJ,76,woman,,Once a week,Episcopal,99,Daily,98,2,99,98,6,7,71,71,100,100,100,100,100,pray,0
8/8/22 18:08,8/8/22 18:11,IP Address,71.176.253.44,100,179,TRUE,8/8/22 18:11,R_1N9aSItWbnAmFT7,,,,,37.5115,-77.5662,anonymous,EN,VS,64,woman,,Once a week,Episcopal,100,Multiple times a day,100,70,96,87,90,98,95,100,84,85,95,100,100,pray,0
