StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,initials,age,gender,gender_TEXT,churched,church_type,importance_rel,freq_prayer,importance_pray,previous,problem_articulation,closer,ideas,plan,motivation,optimism,connected,positive,charity,relief,result,condition,condition_num
7/18/22 21:45,7/18/22 21:48,IP Address,68.50.200.69,100,200,TRUE,7/18/22 21:48,R_TjfUsfIXwzYqjh7,,,,,40.4444,-86.9256,anonymous,EN,MF,25,man,,A few times a month,nondenominational ,100,Once a week,67,57,41,46,68,29,82,79,58,70,44,57,73,think,1
7/19/22 21:28,7/19/22 21:30,IP Address,154.6.21.31,100,122,TRUE,7/19/22 21:30,R_2z61K6xrZNI8w4U,,,,,41.8874,-87.6318,anonymous,EN,JB,52,man,,A few times a year,Anglican,100,Multiple times a week,100,47,100,48,49,50,50,18,47,46,47,26,13,think,1
7/20/22 23:39,7/20/22 23:43,IP Address,76.28.200.109,100,224,TRUE,7/20/22 23:43,R_1mt4NVev83yUcR0,,,,,48.3108,-122.6322,anonymous,EN,ST,23,woman,,Once a week,Liturgical Baptist,91,Multiple times a week,91,77,83,42,47,29,66,33,38,46,29,15,18,think,1
7/21/22 0:04,7/21/22 0:07,IP Address,136.52.124.68,100,146,TRUE,7/21/22 0:07,R_po54p3B2KMTakmZ,,,,,33.672,-117.7402,anonymous,EN,PS,24,man,,A few times a month,Anglican Catholic,100,Daily,85,0,58,20,29,71,18,28,0,5,1,48,27,think,1
7/22/22 18:08,7/22/22 18:10,IP Address,72.194.112.119,100,101,TRUE,7/22/22 18:10,R_zT1WjyH96M1k9Vv,,,,,33.5157,-117.7109,anonymous,EN,SR,23,woman,,Once a week,nondenominational ,84,Multiple times a week,67,95,74,23,36,50,34,49,11,19,23,86,11,think,1
7/26/22 2:48,7/26/22 2:52,IP Address,69.176.45.223,100,243,TRUE,7/26/22 2:52,R_24hLgIkJO1TkJU5,,,,,37.5197,-82.5228,anonymous,EN,KC,19,woman,,More than once a week,nondenominational ,100,Multiple times a day,100,100,57,57,55,23,58,53,13,36,58,42,48,think,1
7/26/22 18:03,7/26/22 18:06,IP Address,68.106.239.18,100,166,TRUE,7/26/22 18:06,R_3qHCPCWWmZzIGaJ,,,,,33.3504,-111.782,anonymous,EN,ES,26,woman,,Once a week,nondenominational ,100,Multiple times a day,96,99,88,76,68,91,76,75,91,65,81,52,40,think,1
7/27/22 22:50,7/27/22 22:52,IP Address,99.112.102.254,100,130,TRUE,7/27/22 22:52,R_3njBhoo23d7Vlf2,,,,,41.9703,-87.664,anonymous,EN,SJS,35,woman,,A few times a year,sometimes i say the world is my church and that about sums it up,100,Multiple times a day,100,100,43,54,100,100,60,100,68,100,100,100,100,think,1
7/28/22 1:44,7/28/22 1:45,IP Address,74.64.154.71,100,80,TRUE,7/28/22 1:45,R_1hBfcDR6LaaV47x,,,,,40.782,-73.9953,anonymous,EN,PA,30,man,,Once a month,Episcopal,100,Multiple times a week,70,52,99,82,93,69,53,95,67,100,100,100,74,think,1
7/28/22 22:08,7/28/22 22:11,IP Address,71.227.220.117,100,173,TRUE,7/28/22 22:11,R_1qWDJYUInNf42ZD,,,,,48.799,-122.4499,anonymous,EN,JV,25,woman,,Once a week,Episcopal,76,Once a week,49,64,67,67,57,49,29,36,17,17,17,17,16,think,1
7/29/22 0:04,7/29/22 0:08,IP Address,63.231.61.156,100,185,TRUE,7/29/22 0:08,R_10UkZjLN8vecknN,,,,,47.54,-122.3032,anonymous,EN,KB,51,woman,,More than once a week,Presbyterian,98,Multiple times a day,98,53,20,26,20,80,38,36,25,14,30,9,21,think,1
7/29/22 0:35,7/29/22 0:38,IP Address,76.135.238.224,100,183,TRUE,7/29/22 0:38,R_12uwauxo7nUdw3i,,,,,48.799,-122.4499,anonymous,EN,LP,60,woman,,More than once a week,Episcopal ,0,Multiple times a day,0,94,50,51,72,99,50,50,2,52,84,66,49,think,1
8/1/22 23:38,8/1/22 23:41,IP Address,73.83.36.84,100,179,TRUE,8/1/22 23:41,R_2WTE3IRQt0WL389,,,,,48.6914,-122.4133,anonymous,EN,TT,28,man,,Once a week,Episcopal,99,Daily,70,59,95,63,60,64,57,61,77,77,66,58,63,think,1
8/2/22 18:09,8/2/22 18:11,IP Address,166.194.154.32,100,114,TRUE,8/2/22 18:11,R_2YFiWAjMEASa50b,,,,,39.8704,-86.2166,anonymous,EN,JAT,24,woman,,Once a month,nondenominational ,59,Multiple times a week,55,30,63,35,37,58,42,61,68,73,65,78,32,think,1
8/2/22 19:08,8/2/22 19:12,IP Address,216.249.90.86,100,200,TRUE,8/2/22 19:12,R_2Qgl8w3qd5pQFLh,,,,,39.1215,-86.5784,anonymous,EN,EE,42,woman,,Once a week,Episcopal,100,Multiple times a week,85,38,79,51,38,41,32,57,58,67,46,83,67,think,1
8/4/22 1:35,8/4/22 1:38,IP Address,67.185.217.148,100,149,TRUE,8/4/22 1:38,R_30eqHoBmewd2LfW,,,,,48.7494,-122.4896,anonymous,EN,JS,68,man,,A few times a month,Episcopal,93,Multiple times a day,64,65,73,65,69,89,79,69,43,43,44,75,77,think,1
