ResponseId,age,gender,gender_TEXT,churched,church_type,importance_rel,freq_prayer,importance_pray,previous,problem_articulation,closer,ideas,plan,motivation,optimism,connected,positive,charity,relief,result,condition,condition_num
R_2uHSJn858phaBCO,24,woman,,Once a week,nondenominational ,100,Multiple times a week,100,28,100,100,20,87,96,100,99,100,98,99,83,pray,0
R_UXVUgJ97U5yMgjD,24,woman,,A few times a month,Anglican Catholic,100,Once a week,73,24,85,35,25,55,12,81,100,68,84,95,25,pray,0
R_2xwWBWdOqKcuz1j,53,woman,,A few times a year,Liturgical Protestant,98,Daily,67,100,92,78,51,52,94,77,92,93,93,99,75,pray,0
R_3R9ngRjRZPtIBFz,18,woman,,A few times a month,Christian,92,Multiple times a week,96,100,21,22,50,36,61,52,15,37,72,75,27,pray,0
R_2uL3kQ61Jp1hSnt,25,man,,More than once a week,nondenominational ,100,Multiple times a day,100,77,100,44,44,44,61,62,55,100,100,85,56,pray,0
R_1jIGuN7QrxnAlFP,31,woman,,A few times a month,Episcopal ,100,Multiple times a week,100,100,48,28,69,46,18,20,22,23,84,85,46,pray,0
R_BDRPYmouCqRwqY1,66,man,,Once a week,Presbyterian ,42,Multiple times a day,100,60,54,49,68,57,100,51,96,64,89,100,84,pray,0
R_5aTm48MylJhqF8d,21,man,,More than once a week, nondenominational,98,Multiple times a week,96,98,100,100,2,98,99,0,0,1,0,100,0,pray,0
R_R4RrHp3sgYNDILn,27,woman,,Once a week,Lutheran (ELCA),100,Daily,100,100,100,60,61,61,100,100,100,100,100,100,37,pray,0
R_32SgQuMZDaojdji,27,woman,,Once a month,Catholic,74,A few times a month,69,95,58,65,65,98,45,76,33,81,47,84,69,pray,0
R_2woEXCDOKVnYbhH,25,woman,,A few times a month,Episcopal,71,Once a week,35,73,65,51,24,66,78,26,24,42,40,50,25,pray,0
R_2WNFNcqCthldASb,24,man,,A few times a month,Presbyterian (PCUSA),74,Multiple times a week,80,55,50,19,81,79,17,18,54,72,73,51,38,pray,0
R_vCC3eROH3gSp2nf,67,woman,,Once a week,Anglican,100,Multiple times a day,100,49,76,80,81,82,8,9,99,99,9,10,45,pray,0
R_1hQElr3UldWO3CP,27,man,,Once a week,Catholic Parish,100,Daily,100,100,100,100,76,60,20,100,100,100,86,100,83,pray,0
R_sh4EzyT116c02UF,66,man,,Once a week,Anglican,100,Multiple times a day,100,74,100,100,69,47,100,93,100,100,100,100,76,pray,0
R_21h6jQT13lRCsSo,67,man,,A few times a month,Episcopal,54,A few times a year,6,1,73,2,49,1,27,5,48,21,69,2,2,pray,0
R_XtsLxtF3peHcuMp,76,woman,,Once a week,Episcopal,99,Daily,98,2,99,98,6,7,71,71,100,100,100,100,100,pray,0
