ResponseId,age,gender,gender_TEXT,churched,church_type,importance_rel,freq_prayer,importance_pray,previous,problem_articulation,closer,ideas,plan,motivation,optimism,connected,positive,charity,relief,result,condition,condition_num
R_TjfUsfIXwzYqjh7,25,man,,A few times a month,nondenominational ,100,Once a week,67,57,41,46,68,29,82,79,58,70,44,57,73,think,1
R_2z61K6xrZNI8w4U,52,man,,A few times a year,Anglican,100,Multiple times a week,100,47,100,48,49,50,50,18,47,46,47,26,13,think,1
R_1mt4NVev83yUcR0,23,woman,,Once a week,Liturgical Baptist,91,Multiple times a week,91,77,83,42,47,29,66,33,38,46,29,15,18,think,1
R_po54p3B2KMTakmZ,24,man,,A few times a month,Anglican Catholic,100,Daily,85,0,58,20,29,71,18,28,0,5,1,48,27,think,1
R_zT1WjyH96M1k9Vv,23,woman,,Once a week,nondenominational ,84,Multiple times a week,67,95,74,23,36,50,34,49,11,19,23,86,11,think,1
R_24hLgIkJO1TkJU5,19,woman,,More than once a week,nondenominational ,100,Multiple times a day,100,100,57,57,55,23,58,53,13,36,58,42,48,think,1
R_3qHCPCWWmZzIGaJ,26,woman,,Once a week,nondenominational ,100,Multiple times a day,96,99,88,76,68,91,76,75,91,65,81,52,40,think,1
R_3njBhoo23d7Vlf2,35,woman,,A few times a year,sometimes i say the world is my church and that about sums it up,100,Multiple times a day,100,100,43,54,100,100,60,100,68,100,100,100,100,think,1
R_1hBfcDR6LaaV47x,30,man,,Once a month,Episcopal,100,Multiple times a week,70,52,99,82,93,69,53,95,67,100,100,100,74,think,1
R_1qWDJYUInNf42ZD,25,woman,,Once a week,Episcopal,76,Once a week,49,64,67,67,57,49,29,36,17,17,17,17,16,think,1
R_10UkZjLN8vecknN,51,woman,,More than once a week,Presbyterian,98,Multiple times a day,98,53,20,26,20,80,38,36,25,14,30,9,21,think,1
R_12uwauxo7nUdw3i,60,woman,,More than once a week,Episcopal ,0,Multiple times a day,0,94,50,51,72,99,50,50,2,52,84,66,49,think,1
