StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,age,pronouns,pronouns_4_TEXT,churched,church_type,importance,freq_prayer,importance_1,aloud_silent,rote,process_description,instruction,ACTS,ACTS_use,group_alone,problem_articulation,journal,self,friend,change,switch,plan,optimism,delegate,responsibility,conflict,connected,positive,charity,values,relief,motivated,regret,regret_explain,heart,heart_6_TEXT,others,others_6_TEXT,intervene,intervene_6_TEXT
4/5/22 0:22,4/5/22 0:28,0,216.73.163.154,100,354,1,4/5/22 0:28,R_2Y3rk94qGR5MBC9,,,,,37.2379,-121.7946,anonymous,EN,1,24,1,,5,Anglican Catholic,11,6,6,2,2,"At church on Sundays. Throughout the day intermittently and before bed. Not every prayer is long and thorough, some are just mumblings. ",6,1,2,2,3,2,2,4,3,3,2,2,3,,3,9,3,3,4,2,3,,,2,,4,,6,unquantifiable
4/5/22 0:21,4/5/22 0:28,0,47.150.11.241,100,416,1,4/5/22 0:28,R_3p5MF7FLtbfUGke,,,,,33.4948,-117.0954,anonymous,EN,1,52,2,,5,Bible based,11,6,7,2,1,"Early in morning-if I have time, this includes a journal and Bible (5-6 am)",7,1,2,2,2,2,1,3,2,4,2,4,3,,2,9,4,3,4,4,3,,,2,,6,,4,
4/5/22 0:19,4/5/22 0:33,0,71.231.67.248,100,853,1,4/5/22 0:33,R_4T1uuN7Uj26LJ9D,,,,,48.7494,-122.4896,anonymous,EN,1,24,2,,4,Anglican Catholic,11,5,7,2,4,"Normally, I pray in bed as I fall asleep, while driving, or at church. Otherwise, I’ll pray with my partner about once a week or so. I do not have a specific routine. ",7,1,2,3,2,3,4,2,3,4,2,2,2,,4,10,5,5,5,3,4,,,1,,5,,4,
4/5/22 0:34,4/5/22 0:48,0,198.72.213.250,100,835,1,4/5/22 0:48,R_2b1bpvsrAQEjGVj,,,,,34.2526,-118.2882,anonymous,EN,1,23,1,,5,Christian / Assemblies of God,11,7,6,2,2,"I try to pray in the morning, afternoon and before bed. Sometimes I have a devotional or daily office that I pray, but most of the time my prayers depend on recent circumstances.",6,3,1,2,2,2,2,4,2,4,2,3,4,,2,9,5,4,5,4,4,,,4,,4,,4,
4/5/22 2:26,4/5/22 2:38,0,150.108.248.64,100,697,1,4/5/22 2:38,R_1r8k22mz4scIKsS,,,,,40.782,-73.9953,anonymous,EN,1,30,1,,4,Episcopal,11,5,6,2,2,"individually during mornings and evenings; before stressful events.  On Sundays at church, in a pew, sitting / standing / kneeling etc. ",5,3,1,2,3,4,2,5,4,3,4,4,2,,4,10,4,5,5,4,4,,,2,,4,,3,
4/5/22 2:33,4/5/22 2:44,0,199.19.147.50,100,690,1,4/5/22 2:44,R_BSpiRsyAsEzWvDz,,,,,33.9058,-118.018,anonymous,EN,1,23,2,,5,liturgical Baptist,11,7,6,2,2,"Recently I've been praying a prayer of intention in the morning, and a prayer of examen at night.  During the day, I try to pray briefly and silently whenever I feel worried or sad or grateful.",6,1,1,2,3,2,2,2,3,4,2,3,4,,2,9,3,4,3,3,2,,,1,,4,,4,
4/5/22 3:14,4/5/22 3:29,0,208.107.9.155,100,934,1,4/5/22 3:29,R_qUTubvYicwzj8jv,,,,,43.5454,-96.6312,anonymous,EN,1,79,1,,6,Baptist,11,7,6,3,1,"Bed time, meal time and throughout the day when I face a big decision or recall a person or situation that needs prayer. ",6,1,2,2,2,2,2,4,2,4,2,4,4,,2,10,4,4,5,4,4,,,4,,4,,4,
4/5/22 3:43,4/5/22 3:46,0,73.34.82.197,100,209,1,4/5/22 3:46,R_1hKGffwzYkJZg0w,,,,,39.5972,-105.001,anonymous,EN,1,36,2,,6,Evangelical ,11,6,6,2,2,Routinely in the morning and at meals.  Spontaneously throughout the day. ,6,1,2,2,2,4,1,2,3,3,2,4,2,,2,9,5,5,4,2,2,,,2,,2,,1,
4/5/22 4:58,4/5/22 5:02,0,96.44.30.65,100,220,1,4/5/22 5:02,R_26a59K83kKYW9UK,,,,,40.597,-105.0589,anonymous,EN,1,22,2,,5,Non-denominational Christian,11,6,7,2,2,"Mostly at night, I often pray through a guided meditation and then extemporaneously pray until I fall asleep. I’ll also usually pray when an intense situation has happened (good or bad) or when I’m having intense feelings (again, good or bad)",7,1,3,2,3,2,3,3,3,4,2,4,2,,3,8,4,4,5,4,4,,,4,,4,,4,
4/5/22 15:30,4/5/22 15:36,0,144.91.218.164,100,377,1,4/5/22 15:36,R_3n75UFVfWyDZztj,,,,,40.4444,-86.9256,anonymous,EN,1,23,1,,6,A non-denominational House church and a non-denominational “regular” Sunday morning church sometimes ,11,7,6,3,2,"I have times in the morning set aside for reading the Bible, meditation, and prayer. Then I pray throughout the day in my head, in the gift of tongues (praying in the Spirit), or out load sometimes. ",5,1,2,2,5,2,2,5,5,2,3,5,4,,5,10,5,5,5,5,5,,,2,,2,,2,
